id_rec_arrec_detalhe;ano_exercicio;ds_municipio;ds_orgao;mes_referencia;mes_ref_extenso;ds_poder;ds_fonte_recurso;ds_cd_aplicacao_fixo;ds_cd_aplicacao_variavel;ds_categoria;ds_subcategoria;ds_fonte;ds_rubrica;ds_alinea;ds_subalinea;vl_arrecadacao;data_atualizacao
38848392;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11130000 - Impostos sobre a Renda e Proventos de Qualquer Natureza;11130300 - Imposto sobre a Renda - Retido na Fonte;11130311 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;4451095.50;2019-01-13 03:27:40.25981
38848393;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11130000 - Impostos sobre a Renda e Proventos de Qualquer Natureza;11130300 - Imposto sobre a Renda - Retido na Fonte;11130341 - Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal;94212.88;2019-01-13 03:27:40.25981
38848394;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;"11180141 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal";1920041.38;2019-01-13 03:27:40.25981
38848395;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180111 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;81984061.89;2019-01-13 03:27:40.25981
38848396;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180111 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;-2109633.91;2019-01-13 03:27:40.25981
38848397;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180112 - Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros;85058.25;2019-01-13 03:27:40.25981
38848398;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180113 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa;3462730.27;2019-01-13 03:27:40.25981
38848399;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180232 - Imposto sobre Serviços de Qualquer Natureza - Multas e Juros;76493.00;2019-01-13 03:27:40.25981
38848400;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180231 - Imposto sobre Serviços de Qualquer Natureza - Principal;8663923.29;2019-01-13 03:27:40.25981
38848401;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180233 - Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa;162529.61;2019-01-13 03:27:40.25981
38848402;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;320 - SAÚDE - TAXAS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11200000 - Taxas;11210000 - Taxas pelo Exercício do Poder de Polícia;11210100 - Taxas de Inspeção, Controle e Fiscalização;11210111 - Taxas de Inspeção, Controle e Fiscalização - Principal;2377.50;2019-01-13 03:27:40.25981
38848403;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11200000 - Taxas;11210000 - Taxas pelo Exercício do Poder de Polícia;11210100 - Taxas de Inspeção, Controle e Fiscalização;11210111 - Taxas de Inspeção, Controle e Fiscalização - Principal;134243.69;2019-01-13 03:27:40.25981
38848404;2018;Guarujá;PREFEITURA MUNICIPAL DE GUARUJÁ;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11200000 - Taxas;11210000 - Taxas pelo Exercício do Poder de Polícia;11210100 - Taxas de Inspeção, Controle e Fiscalização;11210113 - Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa;379247.70;2019-01-13 03:27:40.25981
