id_rec_arrec_detalhe;ano_exercicio;ds_municipio;ds_orgao;mes_referencia;mes_ref_extenso;ds_poder;ds_fonte_recurso;ds_cd_aplicacao_fixo;ds_cd_aplicacao_variavel;ds_categoria;ds_subcategoria;ds_fonte;ds_rubrica;ds_alinea;ds_subalinea;vl_arrecadacao;data_atualizacao
38889416;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11130000 - Impostos sobre a Renda e Proventos de Qualquer Natureza;11130300 - Imposto sobre a Renda - Retido na Fonte;11130311 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;43992052.25;2019-01-13 03:28:36.651328
38889417;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11130000 - Impostos sobre a Renda e Proventos de Qualquer Natureza;11130300 - Imposto sobre a Renda - Retido na Fonte;11130311 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;583.01;2019-01-13 03:28:36.651328
38889418;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;310 - SAÚDE - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11130000 - Impostos sobre a Renda e Proventos de Qualquer Natureza;11130300 - Imposto sobre a Renda - Retido na Fonte;11130311 - Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;9165030.90;2019-01-13 03:28:36.651328
38889419;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180112 - Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros;1413277.77;2019-01-13 03:28:36.651328
38889420;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180113 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa;10370067.34;2019-01-13 03:28:36.651328
38889421;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180114 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros;3725979.64;2019-01-13 03:28:36.651328
38889422;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;"11180141 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal";28561740.70;2019-01-13 03:28:36.651328
38889423;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;"11180142 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros";153317.23;2019-01-13 03:28:36.651328
38889424;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;"11180143 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa";92643.19;2019-01-13 03:28:36.651328
38889425;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;310 - SAÚDE - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180111 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;8.24;2019-01-13 03:28:36.651328
38889426;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;"11180144 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa - Multas e Juros";174817.96;2019-01-13 03:28:36.651328
38889427;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180113 - Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa;50707.14;2019-01-13 03:28:36.651328
38889428;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180100 - Impostos sobre o Patrimônio para Estados-DF-Municípios;11180111 - Imposto sobre a Propriedade Predial e Territorial Urbana - Principal;240464426.81;2019-01-13 03:28:36.651328
38889429;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;310 - SAÚDE - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180232 - Imposto sobre Serviços de Qualquer Natureza - Multas e Juros;0.93;2019-01-13 03:28:36.651328
38889430;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180233 - Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa;26940.08;2019-01-13 03:28:36.651328
38889431;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180231 - Imposto sobre Serviços de Qualquer Natureza - Principal;192.84;2019-01-13 03:28:36.651328
38889432;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180231 - Imposto sobre Serviços de Qualquer Natureza - Principal;253232596.12;2019-01-13 03:28:36.651328
38889433;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180232 - Imposto sobre Serviços de Qualquer Natureza - Multas e Juros;389052.45;2019-01-13 03:28:36.651328
38889434;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180233 - Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa;1890858.10;2019-01-13 03:28:36.651328
38889435;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180234 - Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa - Multas e Juros;4823777.50;2019-01-13 03:28:36.651328
38889436;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;310 - SAÚDE - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11100000 - Impostos;11180000 - Impostos Específicos de Estados/DF Municípios;11180200 - Impostos sobre a Produção, circulação de Mercadorias e Serviços;11180231 - Imposto sobre Serviços de Qualquer Natureza - Principal;15363.13;2019-01-13 03:28:36.651328
38889437;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11200000 - Taxas;11210000 - Taxas pelo Exercício do Poder de Polícia;11210100 - Taxas de Inspeção, Controle e Fiscalização;11210114 - Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa - Multas e Juros;1598216.64;2019-01-13 03:28:36.651328
38889438;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11200000 - Taxas;11210000 - Taxas pelo Exercício do Poder de Polícia;11210100 - Taxas de Inspeção, Controle e Fiscalização;11210113 - Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa;3607200.08;2019-01-13 03:28:36.651328
38889439;2018;Santos;PREFEITURA MUNICIPAL DE SANTOS;6;junho;EXECUTIVO;03 - RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS;100 - GERAL TOTAL;## - PERMISSÃO DE USO DE PASSARELA AÉREA - LC 931/2016;10000000 - Receitas Correntes;11000000 - RECEITA TRIBUTÁRIA;11200000 - Taxas;11210000 - Taxas pelo Exercício do Poder de Polícia;11210100 - Taxas de Inspeção, Controle e Fiscalização;11210111 - Taxas de Inspeção, Controle e Fiscalização - Principal;51931.20;2019-01-13 03:28:36.651328
